sample	TAL1	MEIS1	RUNX1	NPM1	FLT3	MPO	SPI1	ELANE	IDH1	KIT	GATA1	KLF1	DNMT3A	CSF3R	GATA2	IDH2	SOD1	cell_type
CD8+Centr.Mem..5	6.48362579373	5.40935341319	11.4715198861	13.1092936093	5.65757972055	5.83678744223	5.45088769819	5.19743877373	10.2554401705	6.32975151431	5.26999882723	5.64309166865	6.0660246656	5.20267915849	6.24180483123	8.6606334743	11.1417493416	CD8+Centr
CD8+Centr.Mem..6	7.01749864182	5.58601906737	10.290942122	13.0444202359	5.54295167435	5.28157184011	6.35168873261	5.30587490203	8.78200308062	5.85955425304	5.53151979139	7.24918366757	6.07734830981	5.3600671119	6.27520003827	8.2776157457	10.6700173409	CD8+Centr
CD8+Effec.Mem.	7.72876002204	6.23183816682	10.3203919692	12.2222754551	5.51221679456	5.58496878187	6.38301130076	5.30267879773	9.42251194143	6.59355027183	5.23256910264	7.18661798078	5.80156176952	5.40087010581	5.64422285519	6.92462750493	10.1369224309	CD8+Effec
CD8+Effec.Mem..1	7.07395139158	6.14505544929	11.4371901676	12.9200188775	5.41421833333	5.29423841398	6.24772544822	5.39987018112	10.2373679259	6.24817739024	5.24443259467	6.43905014359	5.75836330845	5.1073274898	6.58171097412	8.52157304364	10.9218259097	CD8+Effec
CD8+Effec.Mem..2	6.64019413653	5.36843944377	11.689578095	13.0013992513	5.51051533891	5.61040444954	5.919646934	5.64498205752	9.74784539706	6.40656020561	5.34861171246	6.61065613075	5.56910301014	5.07693054478	6.29734683727	8.59221721495	11.3310473609	CD8+Effec
CD8+Effec.Mem..3	6.38687320367	5.11964527931	11.6976409098	13.1045486534	5.48102945324	5.67616032507	6.03029097032	5.29707350711	9.19145055606	6.52772551889	5.59079414495	6.61019786318	6.32697628995	5.16053932631	5.7976909568	9.14449407017	11.1016526644	CD8+Effec
CD8+Effec.Mem..4	6.48042784684	5.35207717644	11.7465440867	12.9198019131	5.3028886349	5.67994682942	5.26289124132	5.53330196006	10.0836368188	6.17171128577	5.41297849978	5.25590907832	5.64885630824	5.20504285732	6.02401878521	8.64701242421	11.0272404341	CD8+Effec
CD8+Effec.Mem..5	6.86738982884	5.69129277719	11.1601907705	12.9812717472	5.28502545434	5.41527372704	6.13548210754	5.43774251648	9.22328729826	6.27491337158	5.42950466418	7.67310229588	5.6264511431	5.27710487051	5.87887561817	8.09502290633	10.5243381487	CD8+Effec
CD8+Effec.Mem.RA	8.48837860333	6.27325276976	10.4784202712	11.444955177	5.62295561833	5.46480139307	6.93603281715	6.10664528228	9.48955060319	6.25151055189	5.47166802415	7.2781959026	5.84693953971	5.19757399143	6.07344581326	7.69106749361	9.85240393713	CD8+Effec
CD8+Effec.Mem.RA.1	7.94333976557	6.51840884549	11.4075978388	12.8991053886	5.62635359846	5.98788082771	7.03036817158	5.55149596824	10.5974711615	6.27387588395	5.69334944833	5.30123688863	5.49848798916	5.58697910073	8.68056439501	8.82344703121	10.7399571242	CD8+Effec
