sample	cell_type	coarse_type	Bcell	DC	Erythroid	HSC_like	Myeloid	T_NK
CD8+Centr.Mem..1	CD8+Centr	T_NK	0.47557117277375865	0.035424862840754294	0.008939495500107135	0.0004946502239901993	0.07368397302846869	0.40588584563292096
CD8+Centr.Mem..2	CD8+Centr	T_NK	0.37813549734808066	0.003934938268737069	0.001298911372047137	0.00029976830612111864	0.050147448119970316	0.5661834365850436
CD8+Centr.Mem..3	CD8+Centr	T_NK	0.1907241111005165	0.001882750026801431	0.000516890363747771	0.00021490724400581766	0.040081571700463156	0.7665797695644653
CD8+Centr.Mem..4	CD8+Centr	T_NK	0.1566296296974559	0.0030013010313475674	0.0006149477584484306	0.00019868307528451466	0.04598641825790828	0.7935690201795552
CD8+Centr.Mem..5	CD8+Centr	T_NK	0.06688531901231823	0.0023884152857106444	0.0003299087419153231	0.0002827559049097572	0.015027662254286972	0.915085938800859
CD8+Centr.Mem..6	CD8+Centr	T_NK	0.10109186221955191	0.0032501352544318605	0.0015016209629883349	0.00016719310560220566	0.019149844893364788	0.874839343564061
CD8+Effec.Mem.	CD8+Effec	T_NK	0.2514540962401316	0.017170724284594527	0.007619542827017815	0.0002896126150919536	0.08572408500932874	0.6377419390238354
CD8+Effec.Mem..1	CD8+Effec	T_NK	0.07787258987902174	0.0014031672116155398	0.0012144338134386003	0.00032107523733027873	0.012944449425455043	0.9062442844331388
CD8+Effec.Mem..2	CD8+Effec	T_NK	0.06209323733600297	0.0008402737819482021	0.0006622790054710957	0.00018469211074405824	0.02335727693205282	0.9128622408337809
CD8+Effec.Mem..3	CD8+Effec	T_NK	0.00953516451065436	0.00014496442365286363	9.587537855306364e-05	4.813668970884657e-05	0.0037704156743778475	0.986405443323053
CD8+Effec.Mem..4	CD8+Effec	T_NK	0.22504302169797782	0.0018657800093377066	0.0004813262721603956	0.00022155199119455794	0.0196738489842975	0.7527144710450321
CD8+Effec.Mem..5	CD8+Effec	T_NK	0.033835946725304274	0.0012050996866751038	0.0009175817880626291	7.00120543132618e-05	0.021321911751813156	0.9426494479938315
CD8+Effec.Mem.RA	CD8+Effec	T_NK	0.5972751265054883	0.007888483545727881	0.015842917817868882	0.0005083268304940761	0.06434766546102325	0.31413747983939766
CD8+Effec.Mem.RA.1	CD8+Effec	T_NK	0.6588261907536972	0.003853163466992844	0.022640083272312973	0.004358446985888366	0.1595316261331222	0.15079048938798628
CD8+Effec.Mem.RA.2	CD8+Effec	T_NK	0.06074442657397689	0.0019377551006870759	0.0007532455353308796	0.00042002914286793096	0.018059640821469804	0.9180849028256676
CD8+Effec.Mem.RA.3	CD8+Effec	T_NK	0.09932542162254075	0.0004091089021788249	0.00014785089709005723	9.261669183428383e-05	0.018193164423616008	0.8818318374627401
CFU-Granulo	CFU-Granulo	Myeloid	0.18362157242144403	0.0012993221173671536	0.003679793323516704	0.0011621127576191047	0.05161005262480198	0.758627146755251
CFU-Granulo.1	CFU-Granulo	Myeloid	0.08684930804662977	0.0005612749985133873	0.00024445083227182004	0.000159751682762855	0.025358826803071412	0.8868263876367507
CFU-Granulo.2	CFU-Granulo	Myeloid	0.006306712045507296	0.0016240350751907675	0.42949390036622703	0.004129417448216266	0.556542727411169	0.0019032076536895305
CFU-Granulo.3	CFU-Granulo	Myeloid	0.08706688998779848	0.007736432592828838	0.04016613035104835	0.008214903743083393	0.8518167548532637	0.004998888471977318
CFU-Granulo.4	CFU-Granulo	Myeloid	0.2117810442017991	0.0004939717938651201	0.08310732089478194	0.009303656262526881	0.6947492542189321	0.0005647526280949424
CFU-Megakaryo	CFU-Megakaryo	Erythroid	0.02264778876693741	0.0064145488840975425	0.9631851837770103	0.0035608968019911684	0.0025588144782119366	0.001632767291751695
CFU-Megakaryo.1	CFU-Megakaryo	Erythroid	0.00059236698278554	0.000854711110920065	0.9911986148390225	0.0008734564836158442	0.005757298878056669	0.0007235517055995316
CFU-Megakaryo.2	CFU-Megakaryo	Erythroid	0.0008173358351243233	0.0029446286550207407	0.9678785948776042	0.0026232191374765896	0.02257289364126734	0.0031633278535069488
CFU-Megakaryo.3	CFU-Megakaryo	Erythroid	4.7115766382128066e-05	0.00016105117157741227	0.9911730292561265	0.0028759852930227998	0.0032397078131391234	0.002503110699752111
CFU-Megakaryo.4	CFU-Megakaryo	Erythroid	0.0011791754685819137	0.005877769354551239	0.7822018404904991	0.10856389404081408	0.09465272464558426	0.007524595999969457
CFU-Mono	CFU-Mono	Myeloid	0.045034252524236464	2.0213203079825818e-05	0.00040452292664671394	0.00011272045515300208	0.9544274255184882	8.653723957665958e-07
CFU-Mono.1	CFU-Mono	Myeloid	8.381808848757633e-05	0.00010619756382363547	0.0014441125376038672	0.005589420255571192	0.9927763603324307	9.122208302903966e-08
CFU-Mono.2	CFU-Mono	Myeloid	0.1971125054809811	0.001030277141098084	0.007889897617938235	0.00017698900979113433	0.7934260736816231	0.00036425706856846047
CFU-Mono.3	CFU-Mono	Myeloid	0.08320471035283104	0.001101742747310014	0.006230106148539452	0.00024690159819948593	0.908982944824156	0.00023359432896401353
CMP	CMP	Myeloid	1.4677669775375653e-05	0.00020113846861185693	0.05346078997598079	0.019120531500510102	0.9272011751063207	1.687278801102402e-06
CMP.1	CMP	Myeloid	0.00039313997386172876	0.00020867285742449712	0.5808572468172819	0.0026315487991570062	0.4158898973398427	1.9494212432111317e-05
CMP.2	CMP	Myeloid	0.0001160689517817701	0.0005276333852855293	0.3041096349769441	0.006919822235423535	0.6873702702417759	0.0009565702087892038
CMP.3	CMP	Myeloid	0.44148210158501683	0.01806224538550234	0.011731285517078043	0.00011304191614444605	0.060057910621875106	0.46855341497438313
